cpu,heap
0%,67501
0%,64681
3%,69881
5%,129246
2%,128976
1%,129382
0%,129010
1%,129019
1%,129083
1%,128987
1%,128951
0%,128808
1%,128771
1%,128687
1%,128704
1%,128708
1%,128648
3%,126105
