DateTime,Q1,Q2,Q3,Q4,Q5,Q6,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Comments,ID,App
04/07/2018 18.32.07,Trustable,Unlikely,Yes,Absolutely yes,No,Absolutely yes,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,Preferisco dare i permessi quando servono e non configurare tutto all'inizio,22,tutte
05/07/2018 17.09.39,Very trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,3 - Neutral,2 - Disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,2 - Disagree,4 - Agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,La fase iniziale di configurazione dei permessi potrebbe essere troppo lunga per alcune app. ,23,tutte
05/07/2018 17.41.48,Very trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,"Vorrei settare i permessi un unica volta per tutte le app, dato che l'attuale sistema runtime già chiede di continuo",24,tutte
05/07/2018 18.00.58,Neutral,Likely,Yes,Yes,Absolutely yes,Absolutely yes,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,3 - Neutral,2 - Disagree,,25,tutte
05/07/2018 18.30.32,Trustable,Neutral,Absolutely yes,Absolutely yes,Yes,Yes,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,3 - Neutral,4 - Agree,5 - Strongly agree,3 - Neutral,"Per le feature based credo che ripetere l'operazione per ogni feature sia scomodo per l'utente, ma utile ai fini della privacy.
Per le level-based apprezzo davvero di poter specificare dei livelli intermedi (per la posizione).
Per entrambe vorrei che il permesso fosse richiesto a run-time per non intimorire un utente ancor prima di aver visto l'app.",26,tutte
05/07/2018 18.45.43,Very trustable,Likely,Absolutely yes,Absolutely yes,Yes,Absolutely yes,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,,27,tutte
05/07/2018 19.14.59,Neutral,Neutral,Absolutely yes,Absolutely yes,Don't know,Yes,3 - Neutral,3 - Neutral,4 - Agree,1 - Strongly disagree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,,28,tutte
09/07/2018 15.14.33,Very trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,,29,tutte
09/07/2018 15.36.48,Trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,,30,tutte
09/07/2018 15.56.36,Very trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Absolutely yes,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,31,tutte
09/07/2018 16.21.27,Very trustable,Likely,Yes,Yes,Yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,,32,tutte
09/07/2018 16.43.09,Trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Absolutely yes,4 - Agree,2 - Disagree,3 - Neutral,4 - Agree,3 - Neutral,1 - Strongly disagree,2 - Disagree,3 - Neutral,5 - Strongly agree,5 - Strongly agree,,33,tutte
10/07/2018 11.43.01,Trustable,Very likely,Yes,Yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,2 - Disagree,2 - Disagree,3 - Neutral,4 - Agree,1 - Strongly disagree,Configurare i permessi per ogni app al primo avvio è fastidioso,34,tutte
10/07/2018 22.31.05,Trustable,Likely,Yes,Yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,,35,tutte
