Timestamp Apertura AFP,Datetime Apertura AFP,Feature: Buy an object,Feature: Post a listing,Feature: Browse listings,Timestamp Chiusura App,Datetime Chiusura AFP,Tempo Impiegato,ID User
1531833951,2018-07-17 13:25:51,Location - 2,Camera - 1,Location - 2,1531833981,2018-07-17 13:26:21,30,47
,,,,,,,,
,,,,,,,,
,0,3,9,4,,,,
,1,23,38,18,,,"24,03603139",
,2,17,,20,,,,
,3,4,,5,,,,
,,,,,,,,
,,"0,06","0,19","0,09",,,,
,,"0,49","0,81","0,38",,,,
,,"0,36",0,"0,43",,,,
,,"0,09",0,"0,11",,,,
