Graph and List of Signals panels (top and bottom panels);MainActivity;1518679698963
Agreement Information;AgreementActivity;1518679701867
Customizing Setting of the App;SettingsActivity;1518679741819
Handling user feedback;FeedbackActivity;1518679766658
Tutorial explaining app features;TutorialActivity;1518679834851
Terms and Condition;TermsOfUseActivity;1518679864179
e-score feature helper;MetricsHelpActivity;1518679888689
About the app and team;AboutActivity;1518679904727
FormSubmit;NA;1518680036286
