cpu,heap
0%,195868
3%,164700
13%,150574
1%,147884
2%,145831
0%,145959
30%,249009
10%,249283
5%,231487
8%,228519
6%,226695
6%,223439
5%,223587
6%,223787
6%,224555
3%,223726
7%,223670
4%,223827
7%,226997
8%,228722
7%,228642
5%,228578
5%,228668
5%,228592
7%,228620
6%,228756
7%,223780
5%,226938
6%,223502
5%,223402
3%,223512
6%,223716
10%,238052
6%,228996
5%,228720
6%,150802
