app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.beyondmenu,1.34,5.31,2.08,7.74,13.82,3.43,1.98
com.bhaee.zodiac,0.79,6.83,2.55,4.25,17.44,2.30,1.38
com.bitsmedia.android.muslimpro,1.47, 10.18,11.05,6.03,26.00,4.09,2.37
com.blst.hairstyles,0.84,7.09,2.52,1.59,17.47,2.06,1.25
com.boisei.diygallery,0.38,1.82,0.18,1.25,3.97,0.74,0.40
com.brinker.chilis,0.59,4.54,1.22,4.56,10.58,1.42,0.88
com.buffalowildwings.bdubsapp,0.94,4.33,1.28,7.12,11.03,1.98,1.22
com.burnetts.flavorites,1.20,8.21,3.45,2.92,22.79,3.88,1.98
com.candd.firstresponse,0.65,2.04,0.49,1.20,5.85,1.15,0.80
com.care.android.careview,1.43,5.81,2.15,5.22,15.50,3.34,2.00
com.carmax.carmax,0.73,8.77,3.54,5.62,24.31,2.51,1.57
com.cars.android,0.90,31.96,3.76,4.49,25.00,2.92,1.83
com.cfinc.calendar,1.64,5.24,2.04,7.14,12.98,3.29,1.85
com.cg.android.babycountdown,1.75,11.76,5.37,10.87,69.63,5.25,3.35
com.cg.android.birthdaycountdown,1.75,11.93,10.89,10.52,59.73,5.49,3.33
com.cg.android.christmascountdown,1.72,11.86,10.91,10.68,67.76,5.38,3.27
com.cg.android.countdown,1.79,11.74,11.18,10.45,60.95,5.42,3.35
com.cg.android.weddingcountdown,1.71,11.31,10.20,10.41,43.97,5.20,3.07
com.chamberlain.android.liftmaster.myq,0.69,4.01,4.35,7.86,9.28,1.58,1.06
com.chamberlain.myq.chamberlain,0.71,3.67,2.82,7.31,9.81,1.55,0.95
com.chao.dogwhistle,0.25,4.24,3.34,0.36,12.84,1.14,0.73
com.chipotle.ordering,0.69,3.75,4.23,7.60,9.42,1.54,0.97
com.choremonster.cmandroid,1.17,7.33,8.84,9.82,36.15,3.77,2.06
com.christmasmusictree.christmasringtones,0.47,3.50,2.62,0.74,11.15,1.19,0.83
com.cke.happystarrewards,1.27,5.45,5.62,10.45,14.11,2.25,1.52
com.clarkkim.easycraigslist,0.62,8.31,8.68,3.89,23.49,2.44,1.61
com.codeblenders.horoscope.free,0.74,8.56,5.27,4.42,19.87,2.17,1.43
com.codeslap.scanner.android,0.78,2.53,0.66,3.63,6.24,1.20,0.85
com.colorsnap,1.14,8.07,3.11,7.67,37.02,3.16,1.87
com.comcast,1.24,3.52,1.24,3.60,8.60,2.12,1.32
com.conduit.app_f952dfd2561341eab05947e44665f6ec.app,1.06,5.47,1.74,4.81,16.71,2.05,1.37
com.costco.app.android,2.25,11.02,5.44,5.39,31.39,4.52,2.68
com.culvers,0.82,5.77,1.68,6.79,12.29,1.67,1.04
com.cumberlandfarms.mobile,0.66,5.74,2.42,1.43,16.78,1.84,1.21
com.Cute.Text.Pictures.App,0.71,6.27,2.46,0.77,16.70,2.07,1.38
com.daily.devotionals,1.26, 10.33,4.30,9.28,47.40,3.28,2.05
com.dailyhoroscopes.net,0.83,2.26,0.34,1.66,17.41,1.00,0.68
com.dailylovehoroscopes.net,0.60,2.13,0.35,1.46,5.53,0.91,0.58
com.deliverycom,0.62,3.86,0.83,1.44,11.07,1.23,0.80
com.devuni.flashlight.colorlight,0.38,1.12,0.12,1.17,3.14,0.72,0.42
com.devuni.flashlight.lightbulb,0.39,1.03,0.12,1.13,3.05,0.71,0.39
com.digby.android.cabela,0.94,4.37,1.16,0.66,8.89,2.24,1.39
com.digimarc.corvallis,0.82,3.75,1.09,2.78,8.06,2.12,1.33
com.digisoft.callSmSFlashalert,0.80,5.93,1.69,2.96,14.48,1.84,1.14
com.digitaloutcrop.mixology,0.95,5.58,1.94,5.65,16.89,2.20,1.47
com.directed.android.smartstart,1.06,3.90,0.85,1.59,8.85,1.95,1.24
com.directed.android.viper,1.08,3.66,0.87,1.67,8.70,1.98,1.23
com.discovery.petfinder,0.83,3.24,0.78,2.91,7.26,1.50,1.08
com.dishya.android.apps.bliqpro,0.70,2.36,0.47,1.71,5.86,1.17,0.69
com.djsoft.notepad,0.50,3.04,0.58,0.68,11.59,1.17,0.73
